City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,al muwayh,22.4333,41.7583,300.24,41,33,1.93,SA,1700929586
163,assis,-22.6617,-50.4122,296.08,56,99,5.04,BR,1700929587
164,klyuchi,52.2667,79.1667,272.38,47,97,5.26,RU,1700929587
165,tamanrasset,22.785,5.5228,296.1,8,0,2.06,DZ,1700929587
166,tumpat,6.1978,102.171,297.14,94,40,1.03,MY,1700929587
167,west island,-12.1568,96.8225,300.14,74,100,7.2,CC,1700929587
168,tahoua,14.8888,5.2692,307.14,22,0,1.03,NE,1700929587
169,bilibino,68.0546,166.4372,262.87,93,100,2.05,RU,1700929587
170,terespol,52.0755,23.6161,272.7,97,92,3.81,PL,1700929587
171,kokopo,-4.352,152.2633,298.51,88,38,2.08,PG,1700929587
172,springs,-26.25,28.4,301.8,49,65,0.93,ZA,1700929588
173,acarau,-2.8856,-40.12,305.0,54,11,8.46,BR,1700929588
174,sao miguel do araguaia,-13.275,-50.1628,312.39,24,1,1.11,BR,1700929588
175,colomba,14.7167,-91.7333,300.44,83,13,2.38,GT,1700929588
176,sal rei,16.1833,-22.9167,300.26,65,75,8.75,CV,1700929404
177,key west,24.5557,-81.7826,300.15,78,100,4.63,US,1700929588
178,enewetak,11.3474,162.3373,301.16,79,37,9.3,MH,1700929588
179,axim,4.8699,-2.2405,301.52,73,99,5.21,GH,1700929588
180,qaqortoq,60.7167,-46.0333,274.54,99,100,1.94,GL,1700929588
181,vila franca do campo,37.7167,-25.4333,293.38,99,100,4.38,PT,1700929588
182,kalemie,-5.9475,29.1947,295.24,84,100,3.73,CD,1700929588
183,mirny,62.5353,113.9611,239.86,100,14,1.77,RU,1700929589
184,haiku-pauwela,20.9219,-156.3051,296.51,94,20,1.54,US,1700929589
185,zouerate,22.7187,-12.4521,298.18,14,1,3.43,MR,1700929589
186,howard springs,-12.497,131.047,299.1,96,98,1.92,AU,1700929589
187,fraserburgh,57.6874,-2.0184,277.66,70,93,4.81,GB,1700929589
188,sandnessjoen,66.0217,12.6316,254.55,73,16,3.57,NO,1700929589
189,maykop,44.6078,40.1058,286.77,70,94,2.82,RU,1700929386
190,lompoc,34.6391,-120.4579,287.47,75,0,2.06,US,1700929589
191,shimoda,34.6667,138.95,282.1,75,100,4.22,JP,1700929589
192,skjern,55.95,8.5,274.83,86,5,2.68,DK,1700929589
193,aykhal,66.0,111.5,250.58,98,100,2.89,RU,1700929590
194,cockburn town,21.4612,-71.1419,302.13,65,40,5.14,TC,1700929590
195,razampeta,14.1833,79.1667,296.63,92,42,1.51,IN,1700929590
196,istgah-e rah ahan-e garmsar,35.2346,52.3094,286.01,26,74,0.79,IR,1700929590
197,alma,48.5501,-71.6491,265.71,76,75,5.18,CA,1700929590
198,aasiaat,68.7098,-52.8699,270.24,81,100,1.73,GL,1700929590
199,kununurra,-15.7667,128.7333,297.14,88,100,2.57,AU,1700929590
200,hammerfest,70.6634,23.6821,274.4,93,100,6.17,NO,1700929590
201,nizhneangarsk,55.7833,109.55,257.6,72,100,1.79,RU,1700929590
202,saipan,15.1355,145.701,301.54,78,40,6.69,MP,1700929590
203,crane,31.3974,-102.3501,284.82,77,96,7.39,US,1700929590
204,zhezqazghan,47.7833,67.7667,272.38,61,96,2.31,KZ,1700929591
